,content,time,author
0,owowave <@!386643626530308096>,2021-10-12 02:50:42.136,292567325855711235
1,owowave <@!292567325855711235>,2021-10-12 02:51:11.540,386643626530308096
2,owopat <@!386643626530308096>,2021-10-12 02:57:31.405,345445833489121280
3,owoslap <@!345445833489121280>,2021-10-12 02:57:44.784,386643626530308096
4,owoslap <@!345445833489121280>,2021-10-12 02:57:53.617,292567325855711235
5,owokick <@!345445833489121280>,2021-10-12 02:58:04.962,386643626530308096
6,owopunch <@!292567325855711235>,2021-10-12 02:58:10.829,345445833489121280
7,owopunch <@!345445833489121280>,2021-10-12 02:58:11.186,386643626530308096
8,owopunch <@!386643626530308096>,2021-10-12 02:58:15.968,345445833489121280
9,owopray <@!386643626530308096>,2021-10-12 03:29:19.267,377787590729924608
10,<@!386643626530308096> eat rom kmrn i juga gitu pelan2 aja tapi,2021-10-12 03:38:47.684,345445833489121280
11,<@!377787590729924608>,2021-10-12 03:40:13.821,528580754683461632
12,<@!377787590729924608> sbenenrya owocowoncy dptnya dr mana sih?,2021-10-12 03:41:52.690,345445833489121280
13,<@!377787590729924608>,2021-10-12 03:41:56.036,528580754683461632
14,coba dulu sekali <@!528580754683461632>,2021-10-12 03:44:04.861,377787590729924608
15,<@!528580754683461632>,2021-10-12 03:44:15.039,377787590729924608
16,kalah kah? <@!528580754683461632>,2021-10-12 03:45:09.674,377787590729924608
17,<@!377787590729924608> gabsa jec,2021-10-12 03:46:30.205,528580754683461632
18,$give <@!386643626530308096> ochaku uraraka,2021-10-12 03:57:01.539,377787590729924608
19,$give <@!386643626530308096> Ochako Uraraka,2021-10-12 03:57:25.252,377787590729924608
20,owoslap <@!386643626530308096>,2021-10-12 03:57:48.103,345445833489121280
21,owohug <@!377787590729924608>,2021-10-12 03:58:00.132,386643626530308096
22,owohug <@!377787590729924608>,2021-10-12 03:58:01.456,292567325855711235
23,$mmkr <@!377787590729924608>,2021-10-12 03:59:44.751,345445833489121280
24,<@!490180796804497419>,2021-10-12 04:03:56.180,377787590729924608
25,<@!377787590729924608> sumpah jec minecraftnya gabisa,2021-10-12 04:06:16.841,490180796804497419
26,klo di sotrage lain gitu gimana? bisa ga <@!490180796804497419>,2021-10-12 04:11:25.428,377787590729924608
