,content,time,author
0,..scan,2022-01-07 04:57:24.857,377787590729924608
1,..scan,2022-01-07 04:47:38.451,377787590729924608
2,..scan,2022-01-07 04:46:06.763,377787590729924608
3,..scan,2022-01-07 04:38:25.240,377787590729924608
4,"Question: hello
Answer: Don't count on it.",2022-01-07 04:38:22.167,928668783692906528
5,..8ball hello,2022-01-07 04:38:21.714,377787590729924608
6,"Question: will mike get a girlfriend this year
Answer: It is decidedly so.",2022-01-07 03:33:33.109,928668783692906528
7,..8ball will mike get a girlfriend this year,2022-01-07 03:33:32.900,377787590729924608
8,..8ball will mike finish his job today,2022-01-07 03:32:27.329,377787590729924608
9,"```
..load <extension>

```",2022-01-07 03:32:19.212,928668783692906528
10,..help load,2022-01-07 03:32:18.892,377787590729924608
11,"```
​No Category:
  help   Shows this message
  load   
  unload 

Type ..help command for more info on a command.
You can also type ..help category for more info on a category.
```",2022-01-07 03:32:08.965,928668783692906528
12,..help,2022-01-07 03:32:08.491,377787590729924608
13,"Question: will it
Answer: Signs point to yes.",2022-01-07 03:26:38.363,928668783692906528
14,":8ball: | Most likely, **styc**",2022-01-07 03:26:37.879,235148962103951360
15,?8ball will it,2022-01-07 03:26:37.796,377787590729924608
16,":8ball: | Yes, **styc**",2022-01-07 03:26:28.120,235148962103951360
17,?8ball,2022-01-07 03:26:28.119,377787590729924608
18,BRO,2022-01-07 03:22:29.363,377787590729924608
19,99!,2022-01-07 03:22:27.211,377787590729924608
20,991,2022-01-07 03:22:25.560,377787590729924608
21,ping,2022-01-07 03:20:46.304,928668783692906528
22,..pong,2022-01-07 03:20:45.877,377787590729924608
23,..ping,2022-01-07 03:20:40.209,377787590729924608
24,99! <@!928668783692906528>,2022-01-07 03:20:37.550,377787590729924608
25,<@!928668783692906528>,2022-01-07 03:20:35.134,377787590729924608
26,99!,2022-01-07 03:20:31.681,377787590729924608
27,991,2022-01-07 03:20:29.323,377787590729924608
28,bruh,2022-01-07 03:19:46.448,377787590729924608
29,99!,2022-01-07 03:19:44.429,377787590729924608
30,..100,2022-01-07 03:19:41.218,377787590729924608
31,100,2022-01-07 03:19:38.649,377787590729924608
32,99,2022-01-07 03:19:37.237,377787590729924608
33,test,2022-01-07 03:19:36.318,377787590729924608
34,..avatar,2022-01-07 03:11:58.918,377787590729924608
35,ping,2022-01-07 03:11:57.148,928668783692906528
36,..pong,2022-01-07 03:11:56.971,377787590729924608
37,pong,2022-01-07 03:11:55.585,928668783692906528
38,..ping,2022-01-07 03:11:55.262,377787590729924608
39,..avatar,2022-01-07 03:09:42.875,377787590729924608
40,ping,2022-01-07 03:09:38.721,928668783692906528
41,..pong,2022-01-07 03:09:38.358,377787590729924608
42,ping,2022-01-06 16:48:24.917,928668783692906528
43,..pong,2022-01-06 16:48:24.574,377787590729924608
44,pong,2022-01-06 16:48:23.702,928668783692906528
45,..ping,2022-01-06 16:48:23.317,377787590729924608
46,ping,2022-01-06 16:48:20.568,377787590729924608
47,ez,2022-01-06 15:22:10.138,377787590729924608
48,pong,2022-01-06 15:22:08.324,928668783692906528
49,..ping,2022-01-06 15:22:08.048,377787590729924608
50,pong,2021-12-25 08:24:28.735,456226577798135808
51,..ping,2021-12-25 08:24:28.325,377787590729924608
52,..ping,2021-12-25 08:24:07.943,377787590729924608
53,ez,2021-12-25 08:17:18.689,377787590729924608
54,pong,2021-12-25 08:17:06.608,456226577798135808
55,..ping,2021-12-25 08:17:06.296,377787590729924608
56,..pong,2021-12-25 08:17:04.601,377787590729924608
57,oh wow,2021-12-25 08:17:01.879,377787590729924608
58,pong,2021-12-25 08:16:59.326,456226577798135808
59,..ping,2021-12-25 08:16:59.020,377787590729924608
60,..pong,2021-12-25 08:16:54.992,377787590729924608
61,[Click to open Fishington.io in 🚸╏chill-zone](<https://discord.gg/RSJpgBZASU>),2021-10-29 06:04:15.402,819778342818414632
62,"An error occurred: You are being rate limited.
Try again later. This might be related to [this Discord issue](https://discordstatus.com/incidents/19s8kbj78zh8).
Protip: Giving the bot the **Manage Channel** permission in the voice channel will let it re-use links without getting rate-limited.",2021-10-29 06:03:32.994,819778342818414632
63,<@!819778342818414632>,2021-10-29 06:03:03.241,377787590729924608
64,!99,2021-08-07 08:25:09.591,377787590729924608
65,I'm the human form of the 💯 emoji.,2021-08-07 08:18:27.751,456226577798135808
66,99!,2021-08-07 08:18:27.513,377787590729924608
67,I'm the human form of the 💯 emoji.,2021-08-07 08:18:26.375,456226577798135808
68,99!,2021-08-07 08:18:26.039,377787590729924608
69,Bingpot!,2021-08-07 08:18:23.618,456226577798135808
70,99!,2021-08-07 08:18:23.226,377787590729924608
71,raise exception,2021-08-07 08:17:30.698,377787590729924608
